Gene,LogFC,P_value,P_adjusted
A1BG,-0.046755387029518314,0.0860567304867123,0.2727238572061807
A2BP1,0.22178130761938242,0.003353964269820213,0.04143189278880192
A2LD1,0.02656607507526587,0.020994325965310166,0.11796058495252877
A2ML1,0.008034780241809258,0.9003044894690566,0.9551470799829611
A2M,-0.02852002955135058,0.004047024293965718,0.04637807860433897
A4GALT,0.007158039730381205,0.519394573014661,0.7257463299555964
AAAS,-0.0050529738773121835,0.18382953076699546,0.4135669261959902
AACS,0.014347475590521519,0.014985819665748927,0.09712841185947545
AADAT,0.039075686388646336,0.004648776806616678,0.049863107901197655
AAGAB,0.003341353919596557,0.3885316748243707,0.6246210492952814
AAK1,0.015131820365490878,0.03787098190366423,0.16715637076058898
AAMP,-0.00252977724150405,0.44167564473148424,0.6669971856291667
AARS2,0.017508818707967944,0.43480171428943837,0.6606581266272974
AARSD1,0.0004992215555006396,0.9350660621064271,0.9701516864140082
AARS,0.014640108316567257,0.0047944737888704165,0.05078962104827724
AASDHPPT,0.01020795984041234,0.07249230383849758,0.2476953683613098
AASDH,0.020496052718533164,0.0033738165756468695,0.041581923106362606
AASS,0.0044635640289723,0.6033630216169762,0.7861708702348781
AATF,-0.0061697095549471115,0.12477166820079272,0.3327200125390468
AATK,-0.025215703573257642,0.2550576477656401,0.4945807051903629
ABAT,0.03768352355251281,0.001306982034632422,0.02451742840957494
ABCA10,0.025920801811590177,0.4742293058987511,0.6920448738325418
ABCA11P,-0.004905916076316075,0.5386904886277848,0.740780962396986
ABCA12,0.012049622871027621,0.875424680772011,0.9413578653781353
ABCA13,0.11574566322686886,0.07479278531554329,0.252266438075178
ABCA17P,-0.05819429482314864,0.1607536727250124,0.38370477964197536
ABCA1,0.009801292542924944,0.4524354165464263,0.6760533774923484
ABCA2,-0.0021345430659245324,0.7574675505382251,0.8805586123612877
ABCA3,0.0023852333595990594,0.7472934223370049,0.8736803392591259
ABCA4,-0.02968313658079791,0.5919028310835598,0.7781030270777397
ABCA5,0.022934664114362402,0.006361090351134191,0.058949103346500914
ABCA6,-0.02970663303256149,0.40474228906304155,0.6365040540680258
ABCA7,0.010712679592713936,0.4169929555042641,0.6463409783514542
ABCA8,0.034711856771995286,0.20244736365489596,0.4355628063749321
ABCA9,-0.036023973639592644,0.23904102409629174,0.47878477933115443
ABCB10,-0.005303526235046263,0.4563220397785699,0.6792984883366877
ABCB1,-0.0039218384879644574,0.8447831038387948,0.926215166388918
