Gene,LogFC,P_value,P_adjusted
A1BG,-0.15644117771361232,0.0518679456619209,0.8619564607543061
A2BP1,0.24868139270273848,0.36004445138354046,0.8627464734930657
A2LD1,0.04574468917144703,0.5890878140964951,0.908011360457496
A2ML1,0.12280451995842823,0.6243936664245939,0.9162255356025496
A2M,0.05008691546664101,0.10644971586246876,0.8619564607543061
A4GALT,0.09626363987998499,0.21174952624182053,0.8619564607543061
AAAS,0.008224911374875354,0.46240716732538145,0.873157283656112
AACS,-0.004319960211978557,0.8129733223898925,0.9587327383606473
AADAT,0.0192947436876989,0.6616965512138713,0.923613915945009
AAGAB,-0.0177909259514748,0.3699113828672699,0.8627464734930657
AAK1,-0.014246338019058946,0.6671493924984291,0.9249943510318064
AAMP,-0.007114934249432103,0.26295068079984407,0.8619564607543061
AARS2,-0.014631527373484499,0.456100060902333,0.871841650889662
AARSD1,-0.008946804299548194,0.6479074893914809,0.921307287803221
AARS,0.012460177268441175,0.5327514839340032,0.8951980153721901
AASDHPPT,-0.004250203961561283,0.8116063511530507,0.9582970325158415
AASDH,0.026515399310216292,0.4269412310734345,0.866244272610557
AASS,0.029761994641232636,0.5896098674686068,0.908011360457496
AATF,0.0027052202163853067,0.8661127339578978,0.969602247617803
AATK,-0.017646044040755093,0.7910448371914097,0.9518209690765966
ABAT,0.0034548838745225297,0.9289013704575523,0.9856592877796108
ABCA10,-0.011856892332352764,0.9071674240554535,0.979341465138536
ABCA11P,-0.03150057397223405,0.23665221174700854,0.8619564607543061
ABCA12,0.3852372254468127,0.11234814962018005,0.8619564607543061
ABCA13,0.14917435678907498,0.5053743144877845,0.8884395379519802
ABCA17P,0.00819359035955558,0.9602613815388246,0.99230717759078
ABCA1,-0.015365047068698345,0.5101161949305775,0.8902905176582874
ABCA2,-0.023485200741260037,0.3925188758539432,0.8627464734930657
ABCA3,-0.027975986443720124,0.14260692281279952,0.8619564607543061
ABCA4,-0.054340624169957996,0.6141611339202349,0.9138567138450092
ABCA5,-0.0017102572428742135,0.9300816971741247,0.9859520500296981
ABCA6,0.10460816200562073,0.28309127251659055,0.8619564607543061
ABCA7,-0.05223632654229782,0.36306731577557316,0.8627464734930657
ABCA8,0.07331690542803804,0.3720509249394848,0.8627464734930657
ABCA9,0.07272193013232187,0.6616806021902084,0.923613915945009
ABCB10,0.014172312534865839,0.554981082369175,0.9005032733895875
ABCB1,0.13028904932698282,0.32073442477729563,0.8619841669731307
ABCB4,0.119195363808974,0.3561193085889891,0.8627464734930657
ABCB5,-0.37780073283223015,0.04280244980138585,0.8619564607543061
ABCB6,-0.03577401310065742,0.13046790019069773,0.8619564607543061
ABCB7,-0.01085584635586212,0.2539284067977687,0.8619564607543061
ABCB8,0.03358934478941045,0.32163909522664863,0.8619841669731307
ABCB9,-0.01441762965414517,0.7188579709393701,0.935669164250961
ABCC10,0.013171839126735474,0.5698096145253941,0.9046415445888034
ABCC11,-0.07871382947674599,0.7251985471193623,0.9367078146969744
ABCC1,0.012922965661589902,0.3678669708874611,0.8627464734930657
ABCC2,-0.04990833857905819,0.7587661616500513,0.9437047623144014
ABCC3,-0.04491538505159598,0.6660740770432805,0.9244180985614568
ABCC4,-0.01171888633108864,0.7913887302315352,0.9518776960257143
ABCC5,-0.07992887947197014,0.0394884049669366,0.8619564607543061
ABCC6P1,0.12853882076940426,0.6635875529184512,0.9238112557560078
ABCC6P2,0.2964187021735101,0.3185706839532891,0.8619841669731307
ABCC6,0.10446946647959798,0.5289705316103744,0.8931748758198629
ABCC8,0.3239630814888863,0.2953981655971416,0.8619564607543061
ABCC9,0.09547358063786504,0.3300325004162367,0.8619841669731307
ABCD1,-0.013018223613490587,0.5730483067250214,0.9046510643643174
ABCD2,0.2225294060443035,0.3310347951138266,0.8619841669731307
ABCD3,0.01716908779417503,0.2768242810114105,0.8619564607543061
ABCD4,0.0032813141326077933,0.8915537635739772,0.9761980594940751
ABCE1,-0.03200410955511179,0.18352266555056265,0.8619564607543061
ABCF1,0.0010384824138545135,0.9190949087630883,0.9833207534506899
ABCF2,-0.017855566330860828,0.11769327756620562,0.8619564607543061
ABCF3,-0.012554572203440806,0.20308277429829574,0.8619564607543061
ABCG1,-0.06029433673371054,0.10215416682273615,0.8619564607543061
ABCG2,0.09169243667580229,0.1005725158623711,0.8619564607543061
ABCG4,0.284657214582722,0.17368531431213388,0.8619564607543061
ABCG5,0.07044830435700167,0.6678313911921758,0.9251601084309667
ABHD10,-0.004345221526358856,0.7917132225442549,0.9518776960257143
ABHD11,0.03044350109529681,0.40927027604602917,0.8635080653898197
ABHD12,0.018078375129937818,0.43606569901711245,0.8663707248375295
