project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_type_id	analytes.analyte_volume	analytes.concentration	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_16s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
WCDT-MCRPC	c6447846-99e5-417d-847a-aab90ff97b53	DTB-023	1b925650-15a9-49a9-9c65-22a2d197dc19	DTB-023-BL	ddf4c682-78b4-53d5-b505-f3c355d7dc30	'--	'--	'--	95c8ee48-e592-554a-a02a-96d47534ce9f	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	c6447846-99e5-417d-847a-aab90ff97b53	DTB-023	1b925650-15a9-49a9-9c65-22a2d197dc19	DTB-023-BL	031445a4-3b4b-517c-a9bf-5208fe9b97b6	'--	'--	'--	b06c9639-40aa-5c5d-85a4-ed2819cff437	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	c6447846-99e5-417d-847a-aab90ff97b53	DTB-023	1b925650-15a9-49a9-9c65-22a2d197dc19	DTB-023-BL	03df7237-a60e-5074-9246-e4733fe2e2e4	'--	'--	'--	a3abd20c-2d50-5dc9-a312-8af487bd2bca	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	c6447846-99e5-417d-847a-aab90ff97b53	DTB-023	ccff5f6a-bf2c-4553-8a6e-8baff5fced35	DTB-023-N	eba92e5b-e0ed-5c77-83c5-bd675731a39d	'--	'--	'--	786ea027-47fb-5bd1-93a6-e64e9837bdbd	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	8bf38b3c-ba5d-44ea-a4ad-76d495328a20	DTB-140	1a70bb05-a3c0-416f-8f8a-c2d08024de21	DTB-140-BL	4a2a7fe7-f719-5ef0-9491-ba05449a41ee	'--	'--	'--	bb59303c-d435-550a-9150-b5a069f9c6f2	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	8bf38b3c-ba5d-44ea-a4ad-76d495328a20	DTB-140	1a70bb05-a3c0-416f-8f8a-c2d08024de21	DTB-140-BL	0b05e2ce-5ac2-5ff7-94c7-b8dfd0092457	'--	'--	'--	2cb0656c-d6bc-5bc4-8d27-c2c72e98d8fe	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	8bf38b3c-ba5d-44ea-a4ad-76d495328a20	DTB-140	1a70bb05-a3c0-416f-8f8a-c2d08024de21	DTB-140-BL	b13b6553-2f5f-5e3d-9523-48d9f734154e	'--	'--	'--	dc73974e-57d8-530d-a65d-147ad036c44e	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	8bf38b3c-ba5d-44ea-a4ad-76d495328a20	DTB-140	c579ca61-2206-4d30-a9df-cc9ee2af3b33	DTB-140-N	ef58753b-de70-54d6-90cd-5f10a4803139	'--	'--	'--	e3f19f81-bd70-59c7-ad40-22b8b61dcd30	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	413042c2-af12-442d-876e-39da4b980a2c	DTB-059	11ba3b26-c1a5-4624-8f4d-6f3dddd7df54	DTB-059-BL	0b98f679-aeea-5538-b9c0-2a0ad327e143	'--	'--	'--	9f4fa03c-79f1-5d27-884c-a283bd6cb899	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	413042c2-af12-442d-876e-39da4b980a2c	DTB-059	11ba3b26-c1a5-4624-8f4d-6f3dddd7df54	DTB-059-BL	2f4feb3b-6454-5539-bfc3-ae404d437874	'--	'--	'--	a0a369e7-06d0-55e5-98b1-739ff13c0717	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	413042c2-af12-442d-876e-39da4b980a2c	DTB-059	11ba3b26-c1a5-4624-8f4d-6f3dddd7df54	DTB-059-BL	bbd2f9e5-a75b-54d4-af78-45a110945d7e	'--	'--	'--	5d60e7d0-58c7-5d4f-937d-860ffdb817d4	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	413042c2-af12-442d-876e-39da4b980a2c	DTB-059	6fbfa3a8-dec2-4924-acac-9672e57c6e3f	DTB-059-N	dacab3a9-ff14-5060-ad38-38e50d1beb50	'--	'--	'--	94d9adb6-b6cb-57a0-838e-5c2dc499e552	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	e5e72524-cd9a-46d1-9980-b659410f5cd4	DTB-205	1425ef2b-0c94-4b76-a664-4f8ccf9622ec	DTB-205-N	ba88f5e5-b06b-5f46-83bc-1d69dc5c8af0	'--	'--	'--	332cf716-b311-551a-ad0c-72d53ce23cd5	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	e5e72524-cd9a-46d1-9980-b659410f5cd4	DTB-205	6e2107d7-36d9-4db1-b6bc-2d200ae28583	DTB-205-BL	727b57be-a7ce-58d3-ad20-17c4757f9573	'--	'--	'--	49a7828c-f8b7-5614-a9b6-c99491c5e752	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	e5e72524-cd9a-46d1-9980-b659410f5cd4	DTB-205	6e2107d7-36d9-4db1-b6bc-2d200ae28583	DTB-205-BL	74b811af-6ca8-5e59-a62d-af0845b72781	'--	'--	'--	3b7feb54-3a5d-5716-8303-6193a7854083	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	e5e72524-cd9a-46d1-9980-b659410f5cd4	DTB-205	6e2107d7-36d9-4db1-b6bc-2d200ae28583	DTB-205-BL	e67d0358-1f78-5092-8048-1a4292dbc03c	'--	'--	'--	00817db4-247e-5ddd-be61-149a0b1189b1	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	dddb6c77-70e0-44a2-b19a-39ec2c8efc1d	DTB-128	24cf9af5-3a2d-43b1-9e55-cf9105bee2d3	DTB-128-BL	572b196b-7f45-535e-843c-d69516a2eb05	'--	'--	'--	71f48c2f-5713-5f0d-853a-7c28aed9bef3	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	dddb6c77-70e0-44a2-b19a-39ec2c8efc1d	DTB-128	24cf9af5-3a2d-43b1-9e55-cf9105bee2d3	DTB-128-BL	c6dcd5f2-fa19-5d1c-9480-24bd2dc3db34	'--	'--	'--	ad366302-9af7-525e-af2f-0f7c8b35f015	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	dddb6c77-70e0-44a2-b19a-39ec2c8efc1d	DTB-128	24cf9af5-3a2d-43b1-9e55-cf9105bee2d3	DTB-128-BL	5006df99-8bd9-5f3a-8500-1995d52ffc9c	'--	'--	'--	0678b850-82fe-53ad-a45e-30e0f818b63c	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	dddb6c77-70e0-44a2-b19a-39ec2c8efc1d	DTB-128	dde0e4e5-d789-4415-ac24-ce6bc491a0f7	DTB-128-N	906c341e-7843-5174-a821-945bb1748fcb	'--	'--	'--	53e8629a-faac-5f62-a7e9-3bdccf717c86	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	e809dc9c-1df5-45ee-b41e-5447feb6a447	DTB-223	0cf01169-ff2b-4d8a-9d15-65a608577a5d	DTB-223-N	3cc68177-1396-5f5b-9be1-8d8b0a5319d9	'--	'--	'--	3e5a3cd1-c58c-5492-9bb7-9ac3cc30f205	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	e809dc9c-1df5-45ee-b41e-5447feb6a447	DTB-223	cb93e36e-b4cf-4022-9c08-61501c588b1a	DTB-223-BL	08504a9c-15ef-5bea-82ac-1885d3eb13b9	'--	'--	'--	a026524e-e78c-545c-8b23-80ecf9de5814	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	e809dc9c-1df5-45ee-b41e-5447feb6a447	DTB-223	cb93e36e-b4cf-4022-9c08-61501c588b1a	DTB-223-BL	eb6c4ddd-652d-5547-a408-3e78281d1bdf	'--	'--	'--	9f3c6b32-6871-5f6e-bd35-3a069bfe80dc	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	e809dc9c-1df5-45ee-b41e-5447feb6a447	DTB-223	cb93e36e-b4cf-4022-9c08-61501c588b1a	DTB-223-BL	667140ac-57e7-535c-ac06-5b4829e7d544	'--	'--	'--	d08728bb-0ef7-58c6-865a-d1f84abf954b	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	2bb2fe8d-8e69-460d-999b-61a4e32ccd2c	DTB-067	4d7450ae-6f96-45bb-8359-507c9d5d7a98	DTB-067-N	4b54248f-c1b0-5690-a4a1-8c39fd95e41d	'--	'--	'--	3464f282-21c1-595f-a08f-96106475ff97	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	2bb2fe8d-8e69-460d-999b-61a4e32ccd2c	DTB-067	a2830d00-4fda-4847-954c-f050bd4c1a36	DTB-067-PRO	9a76f6cc-45e9-5bd8-8a89-0b3777f321c1	'--	'--	'--	4953c29b-b123-5e06-ae7e-d9a948add43b	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	2bb2fe8d-8e69-460d-999b-61a4e32ccd2c	DTB-067	a2830d00-4fda-4847-954c-f050bd4c1a36	DTB-067-PRO	8137fc68-0795-5e62-a342-68efc85208cc	'--	'--	'--	5021ad59-5be2-5793-b0ca-012f4b861245	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	2bb2fe8d-8e69-460d-999b-61a4e32ccd2c	DTB-067	a2830d00-4fda-4847-954c-f050bd4c1a36	DTB-067-PRO	fcf4aab5-33b1-5154-b4d3-3ad3a8ff37c1	'--	'--	'--	7d074f20-7e45-58d0-910b-91ba0cf76029	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	2c02bcf1-97ef-43aa-b15d-523f1ac1f6a1	DTB-214	9530c9eb-543f-451d-8960-fb8dfec19a5b	DTB-214-N	af95b887-2a5f-5829-b3f3-16fe9f20e69b	'--	'--	'--	ca52a1ba-6f86-5c58-8ff4-43bdd55c00d6	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	2c02bcf1-97ef-43aa-b15d-523f1ac1f6a1	DTB-214	ea22b076-4597-4242-afa8-9ad57f0a2c68	DTB-214-BL	51386bfb-a416-5014-8b17-a1764fdc80a5	'--	'--	'--	27b9974d-984f-5cb0-b298-88bfa339d294	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	2c02bcf1-97ef-43aa-b15d-523f1ac1f6a1	DTB-214	ea22b076-4597-4242-afa8-9ad57f0a2c68	DTB-214-BL	6e3181ea-6b5e-59cb-9ae9-43014fb5c394	'--	'--	'--	dac3abef-9dd7-58b5-82f5-1d9292a824fe	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	2c02bcf1-97ef-43aa-b15d-523f1ac1f6a1	DTB-214	ea22b076-4597-4242-afa8-9ad57f0a2c68	DTB-214-BL	d1126b70-190f-50a1-8838-c9bbb66b8d71	'--	'--	'--	cf6ef07a-0a5b-558d-b457-c0af8d5e919e	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
