project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.creation_datetime	portions.is_ffpe	portions.portion_id	portions.portion_number	portions.state	portions.submitter_id	portions.weight
WCDT-MCRPC	c6447846-99e5-417d-847a-aab90ff97b53	DTB-023	1b925650-15a9-49a9-9c65-22a2d197dc19	DTB-023-BL	'--	'--	ddf4c682-78b4-53d5-b505-f3c355d7dc30	'--	'--	'--	'--
WCDT-MCRPC	c6447846-99e5-417d-847a-aab90ff97b53	DTB-023	1b925650-15a9-49a9-9c65-22a2d197dc19	DTB-023-BL	'--	'--	031445a4-3b4b-517c-a9bf-5208fe9b97b6	'--	'--	'--	'--
WCDT-MCRPC	c6447846-99e5-417d-847a-aab90ff97b53	DTB-023	1b925650-15a9-49a9-9c65-22a2d197dc19	DTB-023-BL	'--	'--	03df7237-a60e-5074-9246-e4733fe2e2e4	'--	'--	'--	'--
WCDT-MCRPC	c6447846-99e5-417d-847a-aab90ff97b53	DTB-023	ccff5f6a-bf2c-4553-8a6e-8baff5fced35	DTB-023-N	'--	'--	eba92e5b-e0ed-5c77-83c5-bd675731a39d	'--	'--	'--	'--
WCDT-MCRPC	8bf38b3c-ba5d-44ea-a4ad-76d495328a20	DTB-140	1a70bb05-a3c0-416f-8f8a-c2d08024de21	DTB-140-BL	'--	'--	4a2a7fe7-f719-5ef0-9491-ba05449a41ee	'--	'--	'--	'--
WCDT-MCRPC	8bf38b3c-ba5d-44ea-a4ad-76d495328a20	DTB-140	1a70bb05-a3c0-416f-8f8a-c2d08024de21	DTB-140-BL	'--	'--	0b05e2ce-5ac2-5ff7-94c7-b8dfd0092457	'--	'--	'--	'--
WCDT-MCRPC	8bf38b3c-ba5d-44ea-a4ad-76d495328a20	DTB-140	1a70bb05-a3c0-416f-8f8a-c2d08024de21	DTB-140-BL	'--	'--	b13b6553-2f5f-5e3d-9523-48d9f734154e	'--	'--	'--	'--
WCDT-MCRPC	8bf38b3c-ba5d-44ea-a4ad-76d495328a20	DTB-140	c579ca61-2206-4d30-a9df-cc9ee2af3b33	DTB-140-N	'--	'--	ef58753b-de70-54d6-90cd-5f10a4803139	'--	'--	'--	'--
WCDT-MCRPC	413042c2-af12-442d-876e-39da4b980a2c	DTB-059	11ba3b26-c1a5-4624-8f4d-6f3dddd7df54	DTB-059-BL	'--	'--	0b98f679-aeea-5538-b9c0-2a0ad327e143	'--	'--	'--	'--
WCDT-MCRPC	413042c2-af12-442d-876e-39da4b980a2c	DTB-059	11ba3b26-c1a5-4624-8f4d-6f3dddd7df54	DTB-059-BL	'--	'--	2f4feb3b-6454-5539-bfc3-ae404d437874	'--	'--	'--	'--
