,p_value_T_stage,fold_change_T_stage,p_value_N_stage,fold_change_N_stage,spearman_lymph,p_value_lymph,spearman_survival,p_value_survival
hsa-mir-133a-1,5.0553013860081976e-08,0.915908574903652,0.003993103660772299,0.9231769211641138,-0.2230237471234907,0.0006878479520586129,-0.014708136874155087,0.9744827552576159
hsa-mir-222,2.5801861996872056e-07,0.9178945967457594,0.022435068555599343,0.9334576201221498,-0.19107069236698374,0.005014744309440518,-0.027814821233550033,0.9261608555211446
hsa-mir-3676,1.0260244551428357e-06,0.6818669072565567,0.0054824137005941385,0.7096220449261664,-0.19468522205893743,0.004177254602326529,-0.031930190542542154,0.898264916362851
hsa-mir-221,4.368892704994946e-06,0.9421187791912348,0.006533173845429037,0.9457218483828379,-0.21967092235519545,0.0007977646105431806,0.021802983095560374,0.9500707040908961
hsa-mir-133b,7.45478845247829e-06,0.8688810790600828,0.0016891314582096267,0.856466652431997,-0.2397139640719843,0.0002781458555536349,0.06683315144193572,0.6458545180871621
hsa-mir-133a-2,7.668428569128672e-06,0.8064059845714716,0.0016891314582096267,0.7823402719282405,-0.23514797073310542,0.0003370148147498173,0.050658339463300624,0.7746861218899874
hsa-mir-217,7.906159955961024e-06,1.1551671737989888,0.0016891314582096267,1.152962204066478,0.22255784656368413,0.0006878479520586129,-0.08383359525803366,0.4982406117059114
hsa-mir-582,1.749570194520473e-05,0.9475162434903716,0.008445243508444675,0.9434015559730113,-0.1999766695463051,0.0030399748870737417,-0.09251632936988086,0.45498273649756943
hsa-mir-139,8.214964475970543e-05,0.9460952497374813,0.003123468243469089,0.9313238642427738,-0.2282564571295575,0.0005460843690599068,-0.030316118693025473,0.9135097813407708
hsa-mir-425,8.214964475970543e-05,1.0599051578269683,0.032830992852205344,1.0513068958836256,0.18514780964620176,0.006974677628638892,-0.07069411467003349,0.6125921083316531
hsa-mir-1-2,9.820831874487937e-05,0.9528898991923294,0.0016891314582096267,0.9449843864841148,-0.2407066904309293,0.0002781458555536349,-0.011284280303636077,0.9759313610196423
hsa-mir-21,0.00023624596199181016,1.0134723224357038,0.0016891314582096267,1.0227207140923915,0.24909459708913861,0.0002781458555536349,-0.024919769575114912,0.9327207900383022
hsa-mir-708,0.00026945255368282723,1.070539152282058,0.006533173845429037,1.0850729989849144,0.20719558581974054,0.0020662927732860168,0.012047698710696433,0.9759313610196423
hsa-mir-592,0.0003067126636024807,1.4276300980569994,0.009649317208511974,1.2808637145526498,0.19841980498024891,0.0032368809144638576,-0.06911837804140315,0.6390728456913071
hsa-mir-653,0.0004479747273624241,1.2202907976272181,0.00678059117121257,1.2243513218070479,0.1938689756188559,0.0042002174543376925,0.07131560654810401,0.6125921083316531
hsa-mir-378,0.002251440528432669,0.9733329117156556,0.0054824137005941385,0.959604202098,-0.20183871388991853,0.0030127043735189507,0.009034570867535579,0.9767500218090154
hsa-mir-184,0.009763637160363806,0.7339435406250441,0.0054824137005941385,0.49444814292677075,-0.20098326281219647,0.0030127043735189507,0.03975565752084622,0.8210825938765102
