,p_value_T_stage,fold_change_T_stage,p_value_N_stage,fold_change_N_stage,spearman_lymph,p_value_lymph,spearman_survival,p_value_survival
hsa-mir-30a,3.790129793135372e-08,0.9726480053972274,0.06370070622737446,0.9806397076218833,-0.1773864198823708,0.012381829173388434,-0.04815434735425804,0.78668553187374
hsa-mir-133a-1,5.0553013860081976e-08,0.915908574903652,0.003993103660772299,0.9231769211641138,-0.2230237471234907,0.0006878479520586129,-0.014708136874155087,0.9744827552576159
hsa-mir-222,2.5801861996872056e-07,0.9178945967457594,0.022435068555599343,0.9334576201221498,-0.19107069236698374,0.005014744309440518,-0.027814821233550033,0.9261608555211446
hsa-mir-3676,1.0260244551428357e-06,0.6818669072565567,0.0054824137005941385,0.7096220449261664,-0.19468522205893743,0.004177254602326529,-0.031930190542542154,0.898264916362851
hsa-mir-221,4.368892704994946e-06,0.9421187791912348,0.006533173845429037,0.9457218483828379,-0.21967092235519545,0.0007977646105431806,0.021802983095560374,0.9500707040908961
hsa-mir-891a,6.306931775001006e-06,0.7774339918308365,0.2719007764703329,0.8688278350854722,-0.10993935750046868,0.23512970904238922,-0.12040798267404278,0.31408015147655827
hsa-mir-133b,7.45478845247829e-06,0.8688810790600828,0.0016891314582096267,0.856466652431997,-0.2397139640719843,0.0002781458555536349,0.06683315144193572,0.6458545180871621
hsa-mir-133a-2,7.668428569128672e-06,0.8064059845714716,0.0016891314582096267,0.7823402719282405,-0.23514797073310542,0.0003370148147498173,0.050658339463300624,0.7746861218899874
hsa-mir-217,7.906159955961024e-06,1.1551671737989888,0.0016891314582096267,1.152962204066478,0.22255784656368413,0.0006878479520586129,-0.08383359525803366,0.4982406117059114
hsa-mir-582,1.749570194520473e-05,0.9475162434903716,0.008445243508444675,0.9434015559730113,-0.1999766695463051,0.0030399748870737417,-0.09251632936988086,0.45498273649756943
hsa-mir-135a-2,3.111820865497498e-05,0.8100185541758175,0.0631111531652909,0.8350575667323189,-0.15716135321082064,0.03902866752396685,-0.011081218899357275,0.9759313610196423
hsa-mir-98,6.852039500744684e-05,1.0355596600757955,0.19967373143522787,1.0276543534711906,0.13047182026974613,0.13505715359444087,0.024019545700045015,0.9364809821025957
hsa-mir-574,7.028604918976958e-05,0.9541976414926528,0.26660750512006837,0.9731890318146259,-0.10577484355692829,0.24213736333565425,0.005851939824620819,0.9768658596419768
hsa-mir-139,8.214964475970543e-05,0.9460952497374813,0.003123468243469089,0.9313238642427738,-0.2282564571295575,0.0005460843690599068,-0.030316118693025473,0.9135097813407708
hsa-mir-425,8.214964475970543e-05,1.0599051578269683,0.032830992852205344,1.0513068958836256,0.18514780964620176,0.006974677628638892,-0.07069411467003349,0.6125921083316531
hsa-mir-1468,8.615005121197297e-05,0.9082751301298662,0.2588305425633306,0.922032662938957,-0.12526252651194444,0.15315601070497942,-0.011303338617553952,0.9759313610196423
hsa-mir-378c,8.65891711453074e-05,0.9059090912759048,0.24437771447464107,0.9319636257273928,-0.12277485344565062,0.16431971152452837,-0.027871134065760438,0.9261608555211446
hsa-mir-1-2,9.820831874487937e-05,0.9528898991923294,0.0016891314582096267,0.9449843864841148,-0.2407066904309293,0.0002781458555536349,-0.011284280303636077,0.9759313610196423
hsa-mir-30e,0.00011212627227708795,0.9887589979559293,0.2107154238172984,0.9911715124437539,-0.12555306655717322,0.15315601070497942,-0.03668944888065531,0.8534853590339789
hsa-mir-125b-1,0.0001805585822409883,0.9721207698408928,0.05970510514889247,0.9745991276834312,-0.1576912721082873,0.03902866752396685,0.047226597768241,0.788817123935061
hsa-mir-145,0.00018844904148457417,0.9732904399837123,0.22729607308372668,0.9803807726020823,-0.13313259615543818,0.12531531744924812,-0.09595141910776371,0.42871089800353396
hsa-mir-21,0.00023624596199181016,1.0134723224357038,0.0016891314582096267,1.0227207140923915,0.24909459708913861,0.0002781458555536349,-0.024919769575114912,0.9327207900383022
hsa-mir-708,0.00026945255368282723,1.070539152282058,0.006533173845429037,1.0850729989849144,0.20719558581974054,0.0020662927732860168,0.012047698710696433,0.9759313610196423
hsa-mir-216a,0.00026945255368282723,1.4594522483809025,0.06913444595371059,1.3093804914053349,0.1531380179119824,0.04994087939431853,-0.024014534507701392,0.9364809821025957
hsa-mir-592,0.0003067126636024807,1.4276300980569994,0.009649317208511974,1.2808637145526498,0.19841980498024891,0.0032368809144638576,-0.06911837804140315,0.6390728456913071
hsa-mir-493,0.0003473448492578447,1.1029037147298522,0.2719007764703329,1.0560281072293773,0.11499485005440176,0.21052382044351386,0.10045729662030523,0.4113194657494689
hsa-mir-486,0.0003473448492578447,0.919584106639967,0.3638190889057216,0.9623253040414109,-0.08839473472793077,0.3614083798203683,-0.05554397604433692,0.7554473539331981
hsa-mir-653,0.0004479747273624241,1.2202907976272181,0.00678059117121257,1.2243513218070479,0.1938689756188559,0.0042002174543376925,0.07131560654810401,0.6125921083316531
hsa-mir-451,0.0005226340191935313,0.9461482729570344,0.4770205388586322,0.9760202409124912,-0.08188622516695883,0.4214575613742517,-0.1042998438922922,0.4080519923128654
hsa-mir-505,0.001982951833715865,0.95417283135044,0.19967373143522787,0.9599748530602824,-0.13840430684290153,0.1044488120859234,0.018529038264862255,0.9668723269396448
hsa-mir-378,0.002251440528432669,0.9733329117156556,0.0054824137005941385,0.959604202098,-0.20183871388991853,0.0030127043735189507,0.009034570867535579,0.9767500218090154
hsa-mir-125a,0.0032190763819450593,0.9796414435318151,0.26755103213458803,0.9842792589675913,-0.1060422689671058,0.24117987767662333,-0.005927263126878468,0.9768658596419768
hsa-mir-1258,0.003582171923257653,0.7663467093380372,0.38743602520046,0.8257246876462476,-0.10437634396779052,0.24836658691405208,0.01955724919949038,0.9597850981243551
hsa-mir-30c-2,0.003938146383397107,0.9728763706163613,0.26660750512006837,0.9803611103064959,-0.1047364688183211,0.2480258406633591,-0.08659682937230827,0.4982406117059114
hsa-mir-1265,0.004290048074774094,0.23166744487678342,0.6433187918876642,0.7296198107745032,-0.05316253533296458,0.6351164781891157,-0.035535097262350976,0.8635780330714505
hsa-mir-509-2,0.004290048074774094,0.5043831576647917,0.8023275244999306,0.6900231789726574,-0.04161501481673369,0.702680962311513,-0.04031022403159545,0.8204836710563742
hsa-mir-205,0.004660652130648764,0.9373069362030848,0.5672580297997654,0.9582428348831152,-0.05902939859990695,0.5835700853823632,-0.10631166590962071,0.3815431654384235
hsa-mir-190,0.0062985738567132256,0.8966470300461485,0.17554062267735945,0.8968919606679774,-0.11822906001757409,0.18527120728635618,0.06206271160099376,0.6894455492046411
hsa-mir-489,0.0062985738567132256,1.997726371315251,0.29433753482895875,1.6475556079344282,0.10052242982667624,0.26593013913703367,0.02216523621650092,0.9492755751995896
hsa-mir-125b-2,0.006719977646001566,0.9656600336642547,0.0631111531652909,0.967921292340476,-0.16684285906686097,0.024245158394989783,0.08050594240562604,0.5013447114135832
hsa-mir-135a-1,0.007062837575883339,0.9315354050751485,0.36738201306202445,0.9530604385917267,-0.09347506311620468,0.3282567931653723,-0.11492038163923725,0.3599195284834369
hsa-mir-455,0.007718580616406953,0.9540300547573184,0.4454734118745933,0.9685728537862736,-0.07320584556778015,0.4802524131689677,0.010307890948234848,0.9759313610196423
hsa-mir-598,0.00907151625286405,0.959142971542795,0.5261321422144905,0.9780728647179344,-0.06139592359952206,0.5790511469328128,0.007007257557504852,0.9768658596419768
hsa-mir-204,0.009730611184346967,0.9297649736970276,0.17193322944259767,0.9271901716844405,-0.1395481103462233,0.1002102143252748,0.0008947284091385685,0.9996104872105958
hsa-mir-29c,0.009730611184346967,0.9853217742437377,0.264801522112845,0.9881761258038618,-0.10806231940736105,0.23662367815462163,-0.04575163779696352,0.7919812637819228
hsa-mir-1976,0.009730611184346967,0.9316677953434834,0.8866251374896466,1.006907954770178,0.023379168924576244,0.8599453469635516,0.00015987163230490103,0.9996104872105958
hsa-mir-184,0.009763637160363806,0.7339435406250441,0.0054824137005941385,0.49444814292677075,-0.20098326281219647,0.0030127043735189507,0.03975565752084622,0.8210825938765102
hsa-mir-664,0.010118897797684311,0.9633273399749364,0.6886403795158289,0.9878162146753671,-0.04863974224708744,0.6580670541972038,-0.07737272892330514,0.5396948862226302
hsa-mir-183,0.010392846795093898,1.0213672956963153,0.387210696421539,1.0174876903358347,0.09080546791756174,0.3481467869432204,0.0013325253244343713,0.9996104872105958
hsa-mir-1274b,0.01054250922212397,0.6758264019752517,0.26660750512006837,0.7108134075049497,-0.13553234471886297,0.11324991160705929,0.11992685298285065,0.31408015147655827
hsa-mir-766,0.01054250922212397,0.9155066831969894,0.6549778366178174,0.9530675766337011,-0.059271167027397764,0.5832842613921936,0.0401376102321158,0.8204836710563742
hsa-mir-340,0.01054250922212397,1.0368474322453083,0.7536359334009738,1.01423209697439,0.06185291782454446,0.5774751005788632,0.08892739302010735,0.492633986884023
hsa-mir-195,0.012557157838647635,1.0271910173672352,0.8711793313261289,1.0086943388182785,0.04269069202159777,0.6995262494518973,0.025336331052913896,0.9327207900383022
hsa-mir-516a-1,0.013383090113816588,2.560383476725208,0.26755103213458803,1.2431989048668466,0.12129711754828414,0.17047380076278615,0.03237135800780664,0.8930762336491407
hsa-mir-940,0.013383090113816588,1.2511270627292357,0.3986766758143349,1.133884751969105,0.09439871749063564,0.3214857928101125,0.0052624299605554805,0.9790768529720348
hsa-mir-128-1,0.01369557606902556,1.0265432059031017,0.36738201306202445,1.0198446989247745,0.1005311187453719,0.26593013913703367,0.05906490368954073,0.7003958954936035
hsa-mir-24-2,0.01369557606902556,1.0161642824642163,0.5346849313325006,1.009732814828627,0.0839651210657846,0.40407112639588055,0.0985666958567423,0.4262462874902728
hsa-mir-203,0.016813848370237916,0.9765873820522019,0.8188954653815893,0.9948751783255927,-0.04308767731838355,0.6995262494518973,-0.07948158210965847,0.5046066684018943
hsa-mir-625,0.017863250280008548,1.0323558806984083,0.04971771970799709,1.035636684534989,0.168837005554802,0.021801259950929814,-0.0532084077368194,0.7660827995544344
hsa-mir-190b,0.017863250280008548,0.8093809003779556,0.5156109657411514,0.8478009306443959,-0.07283622895204565,0.4827868350793609,0.019281150802233537,0.9597850981243551
hsa-mir-615,0.01859989091705583,1.2811098409024444,0.4770205388586322,1.1709959005779522,0.08236523137184962,0.4214575613742517,0.055259118806991143,0.7602118732021178
hsa-mir-3926-1,0.020417975276891286,1.2256946708650354,0.26269576946684214,1.2210873831547284,0.11949381725615651,0.1752230630769636,0.06056664282596807,0.6894455492046411
hsa-mir-224,0.02111415300686871,0.9237308687691629,0.5779587960170112,0.9556454983872165,-0.07661533278060528,0.459289572173549,-0.05591334755886007,0.7554473539331981
hsa-mir-612,0.022492154757588433,2.213415722141993,0.5112202933800529,1.2355385676079065,0.07431793756560935,0.4732399967335533,-0.07407110898189821,0.5796736965057456
hsa-mir-511-1,0.02291347702839741,1.1377494801247627,0.5484590347941822,1.079387192816863,0.07308164121895196,0.48042558713539224,0.05309520293891583,0.7660827995544344
hsa-mir-301a,0.025565325947798527,1.0723506938186513,0.5623889087782734,1.0567818205872015,0.0783317129364368,0.4416708141942185,-0.008200363406295956,0.9768658596419768
hsa-mir-1262,0.028801643124660395,0.8955307559891506,0.0793758946486528,0.8121789793205112,-0.14517440525956585,0.0754249119843569,-0.005581735803310775,0.9768658596419768
hsa-mir-215,0.028801643124660395,1.1969550093336514,0.26660750512006837,1.1738840916455668,0.12441715986603523,0.1571273197619619,0.047967110731010676,0.7872842606160823
hsa-mir-23b,0.028801643124660395,0.9853422677566456,0.33583992361613485,0.9854825750647989,-0.10984261072247738,0.23512970904238922,0.04283705101158768,0.8020078964810754
hsa-mir-873,0.031344125153883975,0.598117777282786,0.47870521977265895,0.516201632135072,-0.09191446320381942,0.3474286858602942,-0.015122703820956125,0.9729193603084444
hsa-mir-508,0.031344125153883975,0.7844266183515922,0.8218434691521714,0.8611744973150235,-0.024054789919782472,0.8567058753684942,-0.017629948471640528,0.9685750283799872
hsa-mir-1-1,0.03701805812994067,0.788844253919611,0.055048495609990096,0.6844743110986005,-0.15859029975944253,0.03902866752396685,0.03329699099214093,0.8860630859574886
hsa-let-7c,0.03701805812994067,0.9864785929258634,0.35438402940312524,0.9862934762057707,-0.11366361405627014,0.21779495984967603,0.11916695734452336,0.31408015147655827
hsa-mir-549,0.04493298429518884,0.4706570732010112,0.6163479452091756,0.4963588543486153,-0.05913996123370866,0.5832842613921936,-0.06728431104656549,0.6458545180871621
